Sp.;Size;Number;Type;Morfology;Sample;Label_wet;Area_wet;StdDev_wet;X_wet;Y_wet;XM_wet;YM_wet;Perim._wet;BX_wet;BY_wet;Width_wet;Height_wet;Major_wet;Minor_wet;Angle_wet;Circ._wet;AR_wet;Round_wet;Solidity_wet;Feret_wet;FeretAngle_wet;MinFeret_wet;FeretX_wet;FeretY_wet;IntDen_wet;RawIntDen_wet;Median_wet;Skew_wet;Kurt_wet;%Area_wet;Slice_wet;Label_dry;Area_dry;StdDev_dry;X_dry;Y_dry;XM_dry;YM_dry;Perim._dry;BX_dry;BY_dry;Width_dry;Height_dry;Major_dry;Minor_dry;Angle_dry;Circ._dry;AR_dry;Round_dry;Solidity_dry;Feret_dry;FeretAngle_dry;MinFeret_dry;FeretX_dry;FeretY_dry;IntDen_dry;RawIntDen_dry;Median_dry;Skew_dry;Kurt_dry;%Area_dry;Slice_dry;Index of viability;Number shoots;Index1;Index2;Index of contamination
S. ruralis;Small;25;L;F. Apical;S. ruralis Small;SYPH (25).jpg;5,77E-03;2,12E+01;1,46E-01;2,61E-01;1,46E-01;2,63E-01;3,63E-01;1,10E-01;1,66E-01;6,01E-02;1,59E-01;1,49E-01;4,92E-02;8,22E+01;5,48E-01;3,04E+00;3,29E-01;9,78E-01;1,62E-01;7,88E+01;5,73E-02;1,26E+02;3,19E+02;3,11E-01;3,00E+05;5,10E+01;2,91E+00;1,70E+01;0,00E+00;1,00E+00;SYPS (25).jpg;1,69E-03;2,48E+01;1,03E-01;9,87E-02;1,03E-01;1,01E-01;2,67E-01;6,88E-02;5,31E-02;7,92E-02;9,06E-02;9,90E-02;2,18E-02;5,63E+01;2,99E-01;4,55E+00;2,20E-01;6,70E-01;1,20E-01;4,85E+01;2,95E-02;6,60E+01;1,37E+02;1,31E-01;1,21E+05;7,90E+01;-3,97E-01;-1,90E-01;0,00E+00;1,00E+00;6;0;5,25;5,25;3
S. ruralis;Small;24;L;F. Intermedio;S. ruralis Small;SYPH (24).jpg;3,53E-03;4,79E+01;1,31E-01;1,29E-01;1,32E-01;1,28E-01;3,24E-01;1,04E-01;5,34E-02;5,86E-02;1,46E-01;1,48E-01;3,05E-02;7,12E+01;4,23E-01;4,84E+00;2,07E-01;9,49E-01;1,53E-01;7,33E+01;3,18E-02;1,10E+02;1,91E+02;3,08E-01;2,81E+05;7,40E+01;2,05E+00;3,89E+00;0,00E+00;1,00E+00;SYPS (24).jpg;2,13E-03;2,86E+01;9,72E-02;1,03E-01;9,56E-02;1,02E-01;2,72E-01;5,48E-02;6,12E-02;7,31E-02;9,99E-02;9,85E-02;2,75E-02;1,27E+02;3,62E-01;3,58E+00;2,79E-01;8,36E-01;1,20E-01;1,27E+02;3,11E-02;5,10E+01;6,10E+01;1,79E-01;1,55E+05;8,90E+01;-4,72E-02;-5,51E-01;0,00E+00;1,00E+00;6;0;5,5;5,5;2
S. ruralis;Small;26;L;F. Intermedio;S. ruralis Small;SYPH (26).jpg;3,21E-03;2,80E+01;5,72E-02;8,97E-02;5,86E-02;8,94E-02;2,84E-01;3,14E-02;3,56E-02;5,75E-02;1,20E-01;1,06E-01;3,85E-02;7,49E+01;5,01E-01;2,76E+00;3,63E-01;9,24E-01;1,27E-01;7,08E+01;4,46E-02;4,20E+01;1,49E+02;2,27E-01;2,08E+05;6,80E+01;1,53E+00;5,96E+00;0,00E+00;1,00E+00;SYPS (26).jpg;2,07E-03;1,48E+01;8,28E-02;1,71E-01;8,31E-02;1,69E-01;2,56E-01;6,45E-02;1,16E-01;3,33E-02;1,12E-01;1,04E-01;2,53E-02;8,58E+01;3,98E-01;4,12E+00;2,43E-01;8,41E-01;1,12E-01;8,73E+01;3,00E-02;8,30E+01;2,12E+02;2,21E-01;1,91E+05;1,06E+02;-4,56E-01;3,71E+00;0,00E+00;1,00E+00;5;0;4,25;4,25;3
S. ruralis;Small;3;L;F. Intermedio;S. ruralis Small;SYPH (3).jpg;1,95E-03;1,65E+01;1,40E-01;1,59E-01;1,39E-01;1,59E-01;2,24E-01;1,19E-01;1,14E-01;3,72E-02;9,25E-02;7,84E-02;3,16E-02;9,34E+01;4,88E-01;2,48E+00;4,03E-01;8,75E-01;9,26E-02;9,25E+01;3,54E-02;1,42E+02;1,13E+02;1,57E-01;1,55E+05;8,10E+01;-4,65E-02;-7,92E-02;0,00E+00;1,00E+00;SYPS (3).jpg;1,95E-03;2,37E+01;1,61E-01;1,07E-01;1,62E-01;1,07E-01;2,35E-01;1,04E-01;8,68E-02;1,05E-01;3,87E-02;9,34E-02;2,66E-02;1,68E+01;4,43E-01;3,52E+00;2,84E-01;9,00E-01;1,09E-01;1,67E+01;3,12E-02;9,90E+01;1,17E+02;2,47E-01;2,26E+05;1,30E+02;-7,87E-01;6,16E-01;0,00E+00;1,00E+00;5;0;4,75;4,75;1
S. ruralis;Small;9;L;F. Intermedio;S. ruralis Small;SYPH (9).jpg;7,13E-03;4,15E+01;1,01E-01;1,24E-01;1,06E-01;1,20E-01;3,99E-01;5,38E-02;4,77E-02;9,65E-02;1,42E-01;1,21E-01;7,51E-02;9,39E+01;5,64E-01;1,61E+00;6,22E-01;8,55E-01;1,42E-01;9,33E+01;8,37E-02;9,80E+01;4,70E+01;6,39E-01;6,20E+05;8,00E+01;1,67E+00;2,83E+00;0,00E+00;1,00E+00;SYPS (9).jpg;1,91E-03;2,28E+01;6,03E-02;1,34E-01;6,06E-02;1,36E-01;2,61E-01;4,35E-02;8,70E-02;3,18E-02;1,04E-01;1,03E-01;2,37E-02;8,41E+01;3,51E-01;4,35E+00;2,30E-01;8,13E-01;1,04E-01;8,59E+01;2,80E-02;5,10E+01;1,80E+02;2,27E-01;2,01E+05;1,20E+02;-6,54E-01;1,01E+00;0,00E+00;1,00E+00;6;0;5,5;5,5;2
S. ruralis;Small;12;L;F. Intermedio;S. ruralis Small;SYPH (12).jpg;3,18E-03;2,47E+01;1,39E-01;1,30E-01;1,41E-01;1,30E-01;3,31E-01;1,20E-01;6,38E-02;4,70E-02;1,36E-01;1,20E-01;3,38E-02;9,14E+01;3,64E-01;3,55E+00;2,82E-01;8,18E-01;1,36E-01;9,40E+01;4,31E-02;1,15E+02;6,10E+01;2,28E-01;2,09E+05;6,50E+01;1,31E+00;1,97E+00;0,00E+00;1,00E+00;SYPS (12).jpg;1,14E-03;1,88E+01;1,00E-01;1,44E-01;1,01E-01;1,44E-01;2,16E-01;7,85E-02;9,61E-02;3,62E-02;9,61E-02;8,85E-02;1,64E-02;7,44E+01;3,07E-01;5,39E+00;1,85E-01;7,95E-01;1,03E-01;6,94E+01;2,05E-02;7,60E+01;1,86E+02;1,05E-01;9,88E+04;9,30E+01;-2,96E-01;-9,10E-01;0,00E+00;1,00E+00;6;0;5,25;5,25;3
S. ruralis;Small;2;L;F. Intermedio;S. ruralis Small;SYPH (2).jpg;3,89E-03;1,37E+01;1,27E-01;1,47E-01;1,26E-01;1,49E-01;2,94E-01;9,09E-02;8,68E-02;6,41E-02;1,14E-01;1,12E-01;4,42E-02;7,70E+01;5,67E-01;2,54E+00;3,94E-01;8,73E-01;1,14E-01;8,33E+01;5,51E-02;1,33E+02;1,94E+02;3,10E-01;2,91E+05;7,90E+01;1,11E+00;3,16E+00;0,00E+00;1,00E+00;SYPS (2).jpg;2,28E-03;3,04E+01;1,01E-01;1,31E-01;1,01E-01;1,31E-01;2,55E-01;6,81E-02;7,55E-02;5,03E-02;9,75E-02;9,37E-02;3,09E-02;7,77E+01;4,42E-01;3,03E+00;3,30E-01;7,02E-01;9,76E-02;9,25E+01;4,10E-02;9,40E+01;7,20E+01;2,58E-01;2,35E+05;1,20E+02;-8,53E-01;-4,67E-02;0,00E+00;1,00E+00;2;0;1,25;1,25;3
S. ruralis;Small;27;L;F. Intermedio;S. ruralis Small;SYPH (27).jpg;2,83E-03;2,50E+01;1,34E-01;1,74E-01;1,35E-01;1,75E-01;2,68E-01;1,15E-01;1,18E-01;4,75E-02;1,10E-01;1,04E-01;3,45E-02;8,59E+01;4,98E-01;3,02E+00;3,31E-01;7,95E-01;1,15E-01;7,22E+01;4,05E-02;1,23E+02;2,20E+02;2,50E-01;2,34E+05;8,50E+01;2,23E+00;9,72E+00;0,00E+00;1,00E+00;SYPS (27).jpg;1,61E-03;1,99E+01;1,32E-01;1,32E-01;1,33E-01;1,32E-01;2,29E-01;9,41E-02;1,02E-01;8,16E-02;6,80E-02;8,94E-02;2,29E-02;4,75E+01;3,85E-01;3,90E+00;2,56E-01;6,45E-01;9,34E-02;3,41E+01;3,23E-02;9,00E+01;1,53E+02;1,49E-01;1,37E+05;9,20E+01;-9,56E-02;7,45E-01;0,00E+00;1,00E+00;6;0;5,5;5,5;2
S. ruralis;Small;8;L;F. Intermedio;S. ruralis Small;SYPH (8).jpg;4,61E-03;2,24E+01;8,53E-02;1,08E-01;8,54E-02;1,09E-01;4,54E-01;4,19E-02;4,40E-02;8,91E-02;1,11E-01;9,13E-02;6,43E-02;8,36E+01;2,82E-01;1,42E+00;7,04E-01;7,18E-01;1,13E-01;5,75E+01;8,07E-02;4,00E+01;1,33E+02;3,92E-01;3,57E+05;8,00E+01;3,52E+00;1,77E+01;0,00E+00;1,00E+00;SYPS (8).jpg;2,03E-03;1,65E+01;9,93E-02;1,08E-01;9,91E-02;1,09E-01;2,22E-01;7,63E-02;6,77E-02;5,05E-02;7,85E-02;8,74E-02;2,95E-02;6,62E+01;5,18E-01;2,96E+00;3,38E-01;9,37E-01;9,34E-02;5,72E+01;3,05E-02;7,10E+01;1,36E+02;2,35E-01;2,04E+05;1,14E+02;1,06E+00;1,82E+00;0,00E+00;1,00E+00;6;0;5,75;5,75;1
S. ruralis;Small;4;L;F. Intermedio;S. ruralis Small;SYPH (4).jpg;4,29E-03;3,87E+01;9,40E-02;1,69E-01;9,79E-02;1,74E-01;3,02E-01;5,68E-02;1,19E-01;7,23E-02;1,08E-01;1,14E-01;4,80E-02;1,19E+02;5,90E-01;2,37E+00;4,22E-01;9,26E-01;1,26E-01;1,21E+02;5,03E-02;5,70E+01;1,15E+02;3,06E-01;2,86E+05;6,10E+01;2,76E+00;8,97E+00;0,00E+00;1,00E+00;SYPS (4).jpg;1,30E-03;1,82E+01;1,03E-01;1,30E-01;1,03E-01;1,30E-01;2,08E-01;8,92E-02;8,07E-02;2,55E-02;9,24E-02;7,77E-02;2,12E-02;9,05E+01;3,77E-01;3,66E+00;2,73E-01;8,67E-01;9,24E-02;9,13E+01;2,37E-02;9,80E+01;7,60E+01;1,00E-01;8,89E+04;7,90E+01;-3,39E-01;1,97E-01;0,00E+00;1,00E+00;2;0;1,5;1,5;2
S. ruralis;Small;6;L;F. Intermedio;S. ruralis Small;SYPH (6).jpg;3,16E-03;4,36E+01;1,18E-01;1,92E-01;1,21E-01;1,93E-01;3,07E-01;7,85E-02;1,40E-01;6,51E-02;1,19E-01;1,11E-01;3,61E-02;1,13E+02;4,21E-01;3,09E+00;3,24E-01;7,53E-01;1,30E-01;1,14E+02;5,04E-02;7,70E+01;1,35E+02;2,39E-01;2,24E+05;7,30E+01;2,20E+00;6,45E+00;0,00E+00;1,00E+00;SYPS (6).jpg;1,43E-03;1,57E+01;8,45E-02;1,09E-01;8,49E-02;1,11E-01;2,23E-01;6,90E-02;6,37E-02;2,76E-02;9,02E-02;8,57E-02;2,12E-02;9,53E+01;3,59E-01;4,05E+00;2,47E-01;7,18E-01;9,05E-02;9,47E+01;2,73E-02;7,10E+01;6,00E+01;1,10E-01;9,72E+04;7,70E+01;-5,85E-01;1,42E+00;0,00E+00;1,00E+00;6;0;5,25;5,25;3
S. ruralis;Small;17;L;F. Apical;S. ruralis Small;SYPH (17).jpg;3,57E-03;1,60E+01;1,13E-01;1,07E-01;1,13E-01;1,09E-01;2,56E-01;9,16E-02;5,15E-02;4,43E-02;1,08E-01;1,12E-01;4,06E-02;8,60E+01;6,88E-01;2,76E+00;3,62E-01;9,64E-01;1,08E-01;9,06E+01;3,99E-02;1,08E+02;5,00E+01;1,42E-01;1,34E+05;3,70E+01;2,12E+00;7,34E+00;0,00E+00;1,00E+00;SYPS (17).jpg;9,67E-04;1,43E+01;1,17E-01;1,43E-01;1,17E-01;1,43E-01;1,92E-01;1,00E-01;1,02E-01;4,75E-02;7,85E-02;7,21E-02;1,71E-02;6,35E+01;3,31E-01;4,22E+00;2,37E-01;7,59E-01;8,87E-02;6,22E+01;2,19E-02;1,03E+02;1,75E+02;6,37E-02;5,97E+04;6,90E+01;-5,37E-01;1,45E+00;0,00E+00;1,00E+00;6;0;5,25;5,25;3
S. ruralis;Small;28;L;F. Intermedio;S. ruralis Small;SYPH (28).jpg;2,60E-03;1,73E+01;1,58E-01;1,08E-01;1,59E-01;1,05E-01;2,34E-01;1,36E-01;6,69E-02;4,81E-02;8,79E-02;9,49E-02;3,48E-02;7,05E+01;5,96E-01;2,72E+00;3,67E-01;9,20E-01;9,92E-02;6,24E+01;4,10E-02;1,31E+02;1,48E+02;1,31E-01;1,19E+05;4,80E+01;5,96E-01;6,13E-01;0,00E+00;1,00E+00;SYPS (28).jpg;1,43E-03;2,67E+01;9,95E-02;1,39E-01;1,00E-01;1,38E-01;1,90E-01;8,47E-02;1,00E-01;2,93E-02;8,16E-02;8,19E-02;2,22E-02;1,01E+02;4,99E-01;3,69E+00;2,71E-01;9,18E-01;8,18E-02;9,37E+01;2,44E-02;9,50E+01;9,60E+01;1,10E-01;1,01E+05;8,50E+01;-6,46E-01;-5,07E-01;0,00E+00;1,00E+00;6;0;5,25;6,75;3
