Block;Block_Row;Block_Column;Sample;Shoots_established;S_axles;S_total;S_substratum;Sp.;Size;Biomass_V;Biomass_NV;Biom_total;per_BiomV;RGR
1;F1;C2;D. scoparium Small;0;0;192;577;D. scoparium;Small;0;0,0038;0,0038;0;-1,00E-04
1;F2;C2;D. scoparium Large;1;3;139;605;D. scoparium;Large;0;0,0039;0,0039;0;-5,00E-05
1;F3;C2;S. ruralis Large;14;60;145;619;S. ruralis;Large;0,0023;0,0031;0,0054;57,5;7,00E-04
1;F4;C2;P. capillare Small;6;8;120;621;P. capillare;Small;0;0,003;0,003;0;-5,00E-04
1;F5;C2;H. cupressiforme Large;15;45;99;605;H. cupressiforme;Large;9,00E-04;0,0038;0,0047;22,5;0,00035
1;F1;C3;T. squarrosa Small;49;39;164;604;T. squarrosa;Small;6,00E-04;0,004;0,0046;15;3,00E-04
1;F2;C3;H. aureum Small;10;34;122;645;H. aureum;Small;2,00E-04;0,0038;0,004;5;0
1;F3;C3;S. ruralis Small;2;4;190;643;S. ruralis;Small;0;0,0045;0,0045;0;0,00025
1;F4;C3;H. aureum Medium;24;77;162;621;H. aureum;Medium;0,0025;0,0018;0,0043;62,5;0,00015
1;F5;C3;H. aureum Large;12;36;114;631;H. aureum;Large;0,0021;0,0023;0,0044;52,5;2,00E-04
1;F1;C4;H. cupressiforme Large;11;21;87;616;H. cupressiforme;Large;8,00E-04;0,0035;0,0043;20;0,00015
1;F2;C4;T. squarrosa Large;64;85;161;631;T. squarrosa;Large;0,0013;0,0045;0,0058;32,5;9,00E-04
1;F3;C4;S. ruralis Large;18;24;135;634;S. ruralis;Large;0,0011;0,0043;0,0054;27,5;7,00E-04
1;F4;C4;D. scoparium Medium;0;0;183;625;D. scoparium;Medium;0;0,0038;0,0038;0;-1,00E-04
1;F5;C4;S. ruralis Medium;8;29;202;666;S. ruralis;Medium;1,00E-04;0,0046;0,0047;2,5;0,00035
1;F1;C5;H. aureum Small;8;18;104;599;H. aureum;Small;3,00E-04;0,0025;0,0028;7,5;-6,00E-04
1;F2;C5;H. aureum Small;9;10;109;652;H. aureum;Small;1,00E-04;0,0035;0,0036;2,5;-2,00E-04
1;F3;C5;H. aureum Large;16;65;119;636;H. aureum;Large;0,0017;0,0033;0,005;42,5;5,00E-04
1;F4;C5;P. capillare Small;28;31;153;625;P. capillare;Small;2,00E-04;0,0025;0,0027;5;-0,00065
1;F5;C5;T. squarrosa Medium;48;51;145;635;T. squarrosa;Medium;5,00E-04;0,0044;0,0049;12,5;0,00045
2;F1;C1;D. scoparium Medium;1;4;127;655;D. scoparium;Medium;3,00E-04;0,0035;0,0038;7,5;-1,00E-04
2;F2;C1;P. capillare Small;6;8;110;655;P. capillare;Small;3,00E-04;0,003;0,0033;7,5;-0,00035
2;F3;C1;P. capillare Medium;26;80;140;605;P. capillare;Medium;0,001;0,0033;0,0043;25;0,00015
2;F4;C1;D. scoparium Small;0;0;190;651;D. scoparium;Small;0;0,0036;0,0036;0;-2,00E-04
2;F5;C1;D. scoparium Small;0;0;153;574;D. scoparium;Small;0;0,0037;0,0037;0;-0,00015
2;F1;C2;H. aureum Medium;19;13;116;638;H. aureum;Medium;0,0021;0,0028;0,0049;52,5;0,00045
2;F2;C2;H. cupressiforme Medium;7;12;110;636;H. cupressiforme;Medium;2,00E-04;0,0033;0,0035;5;-0,00025
2;F3;C2;S. ruralis Medium;3;5;179;608;S. ruralis;Medium;3,00E-04;0,0049;0,0052;7,5;6,00E-04
2;F4;C2;H. aureum Large;11;49;132;644;H. aureum;Large;0,0018;0,004;0,0058;45;9,00E-04
2;F5;C2;D. scoparium Large;3;7;107;557;D. scoparium;Large;0;0,0038;0,0038;0;-1,00E-04
2;F1;C3;S. ruralis Medium;6;13;167;629;S. ruralis;Medium;0;0,0036;0,0036;0;-2,00E-04
2;F2;C3;D. scoparium Medium;0;0;169;621;D. scoparium;Medium;0;0,0034;0,0034;0;-3,00E-04
2;F4;C3;S. ruralis Large;15;35;126;643;S. ruralis;Large;5,00E-04;0,0027;0,0032;12,5;-4,00E-04
2;F5;C3;T. squarrosa Medium;109;70;180;631;T. squarrosa;Medium;3,00E-04;0,0042;0,0045;7,5;0,00025
2;F1;C4;H. cupressiforme Small;1;4;111;648;H. cupressiforme;Small;0;0,0033;0,0033;0;-0,00035
2;F2;C4;D. scoparium Large;2;7;78;620;D. scoparium;Large;2,00E-04;0,0039;0,0041;5;5,00E-05
2;F3;C4;D. scoparium Large;1;2;142;613;D. scoparium;Large;0;0,0051;0,0051;0;0,00055
2;F4;C4;H. cupressiforme Large;6;12;109;600;H. cupressiforme;Large;4,00E-04;0,0036;0,004;10;0
2;F5;C4;D. scoparium Small;0;0;183;574;D. scoparium;Small;0;0,0034;0,0034;0;-3,00E-04
2;F1;C5;T. squarrosa Small;114;85;145;658;T. squarrosa;Small;7,00E-04;0,0044;0,0051;17,5;0,00055
2;F2;C5;P. capillare Small;14;13;110;629;P. capillare;Small;0;0,0031;0,0031;0;-0,00045
2;F3;C5;P. capillare Medium;46;53;134;615;P. capillare;Medium;0,0024;0,0036;0,006;60;0,001
2;F4;C5;P. capillare Medium;33;49;128;620;P. capillare;Medium;0,002;0,0034;0,0054;50;7,00E-04
2;F5;C5;H. cupressiforme Small;4;3;157;611;H. cupressiforme;Small;0;0,0038;0,0038;0;-1,00E-04
2;F1;C1;T. squarrosa Large;41;54;167;608;T. squarrosa;Large;0,002;0,0044;0,0064;50;0,0012
2;F2;C1;H. cupressiforme Small;6;7;172;642;H. cupressiforme;Small;0;0,0035;0,0035;0;-0,00025
2;F3;C1;H. aureum Small;26;24;133;653;H. aureum;Small;5,00E-04;0,0019;0,0024;12,5;-8,00E-04
2;F4;C1;S. ruralis Small;3;5;184;595;S. ruralis;Small;0;0,0037;0,0037;0;-0,00015
2;F5;C1;T. squarrosa Medium;93;39;161;650;T. squarrosa;Medium;6,00E-04;0,0039;0,0045;15;0,00025
2;F1;C2;H. aureum Medium;28;45;152;601;H. aureum;Medium;0,002;0,0019;0,0039;50;-5,00E-05
2;F2;C2;H. cupressiforme Large;13;16;98;625;H. cupressiforme;Large;6,00E-04;0,0033;0,0039;15;-5,00E-05
2;F3;C2;T. squarrosa Large;42;50;154;645;T. squarrosa;Large;0,0016;0,0042;0,0058;40;9,00E-04
2;F4;C2;S. ruralis Medium;6;10;180;620;S. ruralis;Medium;3,00E-04;0,0045;0,0048;7,5;4,00E-04
2;F5;C2;T. squarrosa Medium;102;66;153;651;T. squarrosa;Medium;8,00E-04;0,0049;0,0057;20;0,00085
2;F1;C3;T. squarrosa Small;100;99;184;606;T. squarrosa;Small;3,00E-04;0,0039;0,0042;7,5;1,00E-04
2;F2;C3;S. ruralis Medium;5;7;191;614;S. ruralis;Medium;3,00E-04;0,0043;0,0046;7,5;3,00E-04
2;F3;C3;P. capillare Large;34;48;160;623;P. capillare;Large;0,0026;0,0025;0,0051;65;0,00055
2;F4;C3;D. scoparium Medium;0;0;182;615;D. scoparium;Medium;0;0,0039;0,0039;0;-5,00E-05
2;F5;C3;T. squarrosa Large;46;84;155;660;T. squarrosa;Large;0,0023;0,0041;0,0064;57,5;0,0012
2;F1;C4;H. aureum Medium;23;58;132;600;H. aureum;Medium;0,0018;0,0023;0,0041;45;5,00E-05
2;F2;C4;H. cupressiforme Medium;9;15;110;651;H. cupressiforme;Medium;3,00E-04;0,0036;0,0039;7,5;-5,00E-05
2;F3;C4;D. scoparium Medium;0;0;210;645;D. scoparium;Medium;0;0,0041;0,0041;0;5,00E-05
2;F4;C4;H. aureum Large;18;52;158;646;H. aureum;Large;0,0027;0,0026;0,0053;67,5;0,00065
